Abandon         ebandın	          TERK ETMEK
Delightful	dılaytful	HOŞNUT EDİCİ
Deliver	delivır	DAĞITMAK, DAĞITIM
Demand	dimend	İSTEK, TALEP, İHTİYAÇ
Demolish	dımoliş	YIKMAK, PARÇALAMAK
Demonstrate	demonstreyt	AÇIKÇA GÖSTERMEK, DEMONSTRE ETMEK
Demonstration	demonstreyşın	GÖSTERİ
Dentist	dentist	DİŞÇİ
Deny	dınay	İNKAR ETMEK, YALANLAMAK
Depart	dıpart	AYRILMAK
Department	dıpartmınt	BÖLÜM;DEPARTMAN
Depend	dıpend	BAĞIMLI OLMAK, İHTİYACI OLMAK
Deposit	dıpozıt	DEPOZİT
Depress	dıpres	BUNALTMAK
Depth	depth	DERİNLİK
Describe	dıskrayb	TANIMLAMAK, BETİMLEMEK
Desert	dezırt	1.ÇÖL 2.TERK ETMEK(haksız yere)
Deserve	dızörv	HAKKETMEK, LAYIK OLMAK
Design	dızayn	DİZAYN
Desire	dızayr	ARZU
Desk	desk	SIRA;MASA
Despair	dıspeır	ÜMİTSİZLİK
Dessert	dızört	TATLI (yiyecek)
Destroy	dıstroy	YIKMAK
Destruction	dıstrakşın	YIKIM
Detail	diteyl	AYRINTI, DETAY
Determined	dıtörmind	AZİMLİ
Develop	dıvelop	GELİŞMEK, BÜYÜMEK, RESİM BASMAK
Development	dıvelopmınt	GELİŞME
Devil	devl	ŞEYTAN
Dial	dayıl	1.GÖSTERGE 2.TELEFON ETMEK
Diamond	daymınd	1.ELMAS 2.KARO (kağıt oyunlarında)
Diary	dayri	GÜNLÜK, AJANDA
Dictator	dıkteytır	DİKTATÖR
Dictionary	dikşınri	SÖZLÜK
Die	day	ÖLMEK
Difference	difrıns	AYIRIM, FARK
Different	dıfrınt	FARKLI
Difficult	dıfıkılt	ZOR
Dig	dig	KAZMAK
Dinner	dinır	AKŞAM YEMEĞİ
Diploma	dıploumı	DİPLOMA
Diplomat	dıplımat	DİPLOMAT
Direct	dırekt	1.DİREKT 2.YÖNLENDİRMEK, YOL VERMEK
Direction	dırekşn	YÖN
Director	dırektır	DİREKTÖR
Dirt	dört	KİR
Dirty	dörti	KİRLİ
Disadvantage	disadvantıc	DEZAVANTAJ
Disagree	disıgrii	ANLAŞAMAMAK, UYUŞMAMAK
Disappear	disıpiır	GÖZDEN KAYBOLMAK
Disappoint	disıpoint	HAYAL KIRIKLIĞINA UĞRAMAK
Disc	disk	DİSK
Disc-Jockey	disk cokey	DİSCOKEY
Discipline	disiplin	DİSİPLİN
Discover	diskavır	KEŞFETMEK
Discuss	dıskas	TARTIŞMAK
Disease	diziiz	HASTALIK
Dish	diş	1.TABAK ÇANAK,BULAŞIK 2.ÖZEL YEMEK
Dismiss	dismis	KOVMAK, YOL VERMEK, SAL VERMEK
Disobey	disıbey	İTAAT ETMEMEK
Display	displey	GÖSTERMEK
Dispose	dispouz	ATMAK, BIRAKMAK, ORTAYA ÇIKARMAK
Dispute	dıspüut	ANLAŞMAZLIK
Distance	distıns	UZAKLIK
Distant	distınt	UZAK
Distinct	distinkt	AÇIK, ÖZEL, FARKLI
Distinguish	distinguwiş	AYIRT ETME ( bir özelliğinden dolayı )
Distribute	distribüut	DAĞITMAK
District	distrikt	BÖLGE (toprak,ülke)
Disturb	distörb	RAHATSIZ ETMEK
Divide	divayd	BÖLMEK, PAYLAŞTIRMAK
Division	divijn	BÖLÜM
Dizzy	dizi	BAŞ DÖNMESİ
Do	do	YAPMAK
Dock	dok	1.TERSANE(gemi) 2.SANIK İSKEMLESİ 3.DOK
Doctor	daktır	DOKTOR
Document	dokümınt	DOKÜMAN
Dog	dog	KÖPEK
Doll	dol	OYUNCAK BEBEK
Domestic	dımestik	EVCİL, EVE AİT, İÇSEL
Donkey	donki	EŞEK
Door	door	KAPI
Double	dabl	ÇİFT
Doubt	daut	1.ŞÜPHE 2.EMİN OLMAMAK				
Down	daun	AŞAĞISI				
Draw	drov	1.ÇİZMEK (resim) 2.ÇEKMEK (çekmece)				
Dreadful	dredfl	KORKUNÇ, KÖTÜ				
Dreadfully	dredfıli	ÇOK				
Dream	driim	DÜŞ, HAYAL, RÜYA, RÜYA GÖRMEK				
Dress	dres	1.GİYSİ  2.GİYİNMEK				
Drill	dril	1.DELMEK  2.(tekrar tekrar) ÖĞRETMEK				
Drink	drink	İÇMEK				
Drive	draıv	ARABA KULLANMAK, SÜRMEK				
Drop	drop	1.DÜŞÜRMEK, DÜŞMEK, BIRAKMAK  2.DAMLA				
Drug	drag	İLAÇ, UYUŞTURUCU				
Drunk	drank	SARHOŞ				
Dry	dray	1.KURU 2.KURUMAK				
Due	düu	KADAR, VADE( borç )				
Dull	dal	1.APTAL 2.KAPALI,SIKICI				
Dust	dast	TOZ				
Duty	düuti	1.GÖREV  2.GÜMRÜK VERGİSİ



E.G.	i ci	ÖRNEĞİN (kısaltılmışı)				
Each	iiç	HER, HER BİRİ				
Eager	iigır	İSTEKLİ				
Ear	iır	KULAK				
Early	örli	ERKEN				
Earn	örn	PARA KAZANMAK				
Earnest	örnıst	CİDDİ				
Earth	örth	1.DÜNYA  2.TOPRAK  3.TOPRAK PARÇASI				
Ease	iiz	KOLAYLIK				
East	iist	DOĞU				
Easy	iizi	KOLAY				
Eat	iit	YEMEK YEMEK				
Echo	ekou	EKO, AKİS				
Economical	ikınomikl	EKONOMİK				
Edge	ec	KENAR				
Editor	editır	EDİTÖR				
Educate	ecukeyt	EĞİTİM				
Effect	ıfekt	ETKİ				
Efficient	ıfışınt	ETKİN, İYİ ÇALIŞAN				
Effort	efıt	EFOR				
Egg	eg	YUMURTA				
Either.....Or....	aydır ... or	YA.....YA.....				
Elastic	ılestik	ELASTİK				
Elbow	elbou	DİRSEK				
Elder	eldır	YAŞLI (daha yaşlı)				
Elect	ılekt	SEÇMEK				
Election	ılekşın	SEÇİM				
Electricity	ılektrisiti	ELEKTRİK				
Elegant	elıgınt	ŞIK				
Elementary	elımentri	TEMEL, BAŞLANGIÇ İÇİN				
Elephant	elıfınt	FİL				
Else	els	DAHA, BAŞKA				
Elsewhere	elsver	BAŞKA BİR YER				
Embassy	embısi	BÜYÜKELÇİLİK				
Emerge	ımörc	ÇIKMAK				
Emergency	ımörcınsi	ACİL DURUM				
Emigrate	emıgreyt	GÖÇMEN (kendi ülkesinden göçen)				
Employ	ımploy	ÇALIŞTIRMAK (parayla adam çalıştırmak)				
Employee	ımployi	ÇALIŞTIRILAN ADAM				
Employer	ımployır	İŞVEREN				
Employment	ımploymınt	İŞ				
Empty	empti	BOŞ				
Enclose	ınklouz	KAPATMAK, ETRAFINI KAPATMAK				
Encourage	ınkarıc	CESARETLENDİRMEK				
End	end	SON, BİTİRMEK				
Enemy	enımi	DÜŞMAN				
Energy	enırci	ENERJİ				
Engage	engeyc	1.NİŞANLAMAK  2.İŞ VERMEK				
Engine	encin	MAKİNE				
Enjoy	ıncoy	EĞLENMEK				
Enough	inaf	YETER				
Enter	enter	GİRMEK				
Enterprise	entıprayz	GİRİŞİM				
Entertain	entıteyn	AĞIRLAMAK (konukları)				
Entertainment	entıteynmınt	EĞLENCE				
Entrance	entrıns	GİRİŞ				
Envelope	ınvılop	ZARF				
Equal	ikuıl	EŞİT				
Equality	ikualiti	EŞİTLİK				
Erect	irekt	KALDIRMAK				
Error	erır	HATA				
Escalator	eskıleytır	YÜRÜYEN MERDİVEN				
Escape	ıskeyp	KAÇMAK				
Especial	ıspeşl	ÖZEL, ÖNEMLİ				
Essential	ısenşıl	TEMEL, ÇOK ÖNEMLİ				
Establish	ıstabliş	KURMAK ,İNŞA ETMEK				
Estimate	estımeyt	TAHMİN ETMEK (hesaplayarak)				
Even	ivın	1.HATTA 2.ÇİFT,BERABERE,DÜZGÜN				
Evening	ivning	AKŞAM				
Event	ivent	OLAY				
Eventually	ivençuıli	SONUNDA, NİHAİ				
Ever	evır	HERHANGİ BİR ZAMAN				
Every	evri	HER				
Evil	ivl	KÖTÜ				
Exact	ıgzekt	TAM				
Exactly	ıgzekli	KESİN OLARAK				
Exaggerate	ıgzacıreyt	ABARTMAK				
Examine	ıgzamin	İNCELEMEK, SINAV VERMEK				
Example	ıgzempl	ÖRNEK				
Excellent	eksılınt	ÇOK İYİ				
Except	ıksept	DIŞINDA, HARİÇ				
Exception	ıksepşın	İSTİSNA				
Exchange	ıksçeync	DEĞİŞ TOKUŞ
Excite	ıksayt	HEYECANLANDIRMAK
Exclude	eksklud	DIŞLAMAK
Excuse	eksküuz	1.AFFETMEK  2.MUAF TUTMAK 3.ÖZÜR, MAZERET
Exercise	eksısayz	EGZERSİZ
Exist	ıgzist	OLUŞ, VAR OLMAK
Exit	eksit	ÇIKIŞ, ÇIKMAK
Expect	ekspekt	UMMAK,BEKLEMEK
Expense	ekspens	MASRAF
Expensive	ekspensiv	PAHALI
Experience	ıkspiriıns	TECRÜBE
Expert	ekspört	BİLİRKİŞİ, UZMAN, EKSPER
Explain	ıkspleyn	AÇIKLAMAK
Explanation	eksplıneyşın	AÇIKLAMA
Explode	ıksploud	PATLAMAK (bomba patlaması)
Explore	ıksplor	ARAŞTIRMAK (bir yeri)
Express	ıkspres	İFADE ETMEK
Expression	ıkspreşın	İFADE
Extend	ıkstend	GENİŞLETMEK, BÜYÜTMEK
Extension	ıkstenşn	GENİŞLETME, BÜYÜTME
Extent	ıkstent	BOYUT, BÜYÜKLÜK
Extra	ekstrı	FAZLA, EKSTRA
Extract	ıkstekt	ÇEKİP ÇIKARTMAK
Extraordinary	ıkstrordinıri	OLAĞANDIŞI
Eye	ay	GÖZ



Face	feys	1.YÜZ, SURAT 2.KARŞISINA ÇIKMAK, BAŞINA GELMEK
Factory	fektri	FABRİKA
Fade	feyd	SOLMAK
Fail	feyl	BAŞARISIZ OLMAK
Failure	feylır	BAŞARISIZLIK,ARIZA,YETERSİZLİK(crop or heart faılure
Faint	feynt	1.SOLGUN,ZAYIF 2.BAYILMAK
Fair	feır	1.DÜRÜST,ADİL 2.OLDUKÇA İYİ 3.PANAYIR 4.FUAR
Fairly	feıli	1.DÜRÜSTÇE 2.EPEYCE
Faith	feyth	1.İNANÇ  2.GÜVENMEK
Faithful	feythful	GÜVENİLİR, SADIK
Fall	fol	1.DÜŞMEK  2.SONBAHAR (AmE)
False	fols	1.YANLIŞ, HATALI 2.SAHTE
Familiar	fımiliır	TANIDIK, BİLDİK
Family	femıli	AİLE, FAMİLYA
Famous	feymıs	ÜNLÜ
Fanatic	fınıtik	FANATİK
Fantastic	fentestik	HARİKA, OLAĞANDIŞI
Far	far	UZAK
Fare	feır	ÜCRET (tren,vapur vb. için)
Farm	fam	ÇİFTLİK
Farther	fardır	DAHA UZAK
Fashion	feşn	MODA
Fast	fast	HIZLI
Fasten	fasn	BAĞLAMAK
Fat	fet	1.ŞİŞMAN 2.YAĞ (vücut et yağı)
Fate	feyt	KADER
Father	fadır	BABA
Fault	folt	KUSUR
Faultless	foltlıs	KUSURSUZ
Faulty	folti	KUSURLU
Favour	feyvır	LEHİNDE, TARAF TUTMAK
Favourable	feyvırıbl	İYİ, YARDIMCI
Favourite	feyvrıt	EN SEVİLEN, FAVORİ
Fear	fiır	KORKU
Fearful	fiıfl	KORKUTUCU
Feather	fedır	TÜY (kuş tüyü)
February	february	ŞUBAT
Fee	fii	HARÇ, ÜCRET (okul, avukat, doktor v.b)
Feed	fid	BESLEMEK
Feel	fiil	HİSSETMEK
Fellow	felıu	ARKADAŞ (kendisine benzeyen), ADAM
Female	fimeyl	DİŞİ
Fence	fens	ÇİT
Fetch	feç	GİDİP GETİRMEK
Fever	fivır	ATEŞ (vücut)
Few	füu	AZ, BİR KAÇ
Field	fiild	ALAN
Fight	fayt	KAVGA, KAVGA ETMEK
Figure	figır	1.SAYI 2.ŞEKİL, VÜCUT
File	fayl	1.DOSYA 2.TÖRPÜ 3.SIRA
Fill	fil	DOLDURMAK
Film	film	FİLM
Final	faynl	SON
Finally	faynıli	SONUNDA
Finance	faynens	FİNANS
Find	faynd	BULMAK
Fine	fayn	1.İYİ, İNCE, KÜÇÜK  2.PARA CEZASI
Finger	fingır	PARMAK
Finish	finiş	BİTİM, BİTMEK
Fire	fayır	1.YANGIN, ATEŞ ETMEK, ATEŞ 2.İŞTEN KOVMAK
Firm	förm	1.SERT 2.FİRMA
First	först	BİRİNCİ, İLK
Fish	fiş	BALIK
Fit	fit	1.UYMAK, UYGUN  2.ANİ HASTALIK
Fix	fiks	YAPIŞTIRMAK, TAMİR ETMEK, SABİT
Flag	fleg	BAYRAK
Flake	fleyk	TANE (snowflake : kar tanesi)
Flame	fleym	ALEV
Flash	fleş	FLAŞ
Flat	flet	1.DÜZ  2.DAİRE (apartman katı)
Flavour	fleyvır	TAT
Flesh	fleş	ET (derinin altındaki)
Flight	flayt	UÇUŞ
Float	flout	YÜZMEK, BATMAMAK (mantar)
Flock	flok	SÜRÜ
Flood	flad	SEL				
Floor	floor	YAPININ TABANI, KAT				
Flour	flauır	UN				
Flower	flauır	ÇİÇEK				
Fly	flay	1.UÇMAK  2.SİNEK				
Fog	fog	SİS				
Fold	fould	KATLAMAK				
Follow	folou	İZLEMEK, TAKİP ETMEK				
Fond	fond	HOŞLANMAK, MEMNUN OLMAK				
Food	fuud	YİYECEK, BESİN				
Fool	fuul	1.APTAL  2.APTALCA DAVRANMAK  3.KANDIRMAK				
Foolish	fuuliş	APTALCA				
Foot	fuut	AYAK				
For	for	İÇİN				
Forbid	forbid	YASAKLAMAK				
Force	fors	ZORLAMAK, ZOR, FORS				
Forecast	forkast	TAHMİN				
Forehead	forıd	ALIN				
Foreign	forın	YABANCI (ülke veya ırk)				
Forest	forıst	ORMAN				
Forget	fıget	UNUTMAK				
Forgive	fıgiv	BAĞIŞLAMAK, AFFETMEK				
Fork	fork	ÇATAL				
Form	form	ŞEKİL, ŞEKİLLENDİRMEK, FORM				
Former	formır	ÖNCEKİ ZAMAN				
Fortnight	fortnayt	İKİ HAFTA, ONDÖRT GÜN				
Fortune	forçın	1.SERVET  2.ALIN YAZISI 3.TALİH				
Forward	forvıd	İLERİ				
Foundation	faundeyşın	1.TEMEL 2.VAKIF				
Fountain	fauntın	FISKİYE				
Fountain-Pen	fauntın pen	DOLMA KALEM				
Fox	foks	TİLKİ				
Frame	freym	ÇERÇEVE				
Free	frii	ÖZGÜR, RAHAT, SERBEST, SERBEST BIRAKMAK				
Free	frii	BEDAVA, ÜCRETSİZ				
Freedom	friidım	ÖZGÜRLÜK				
Freeze	friz	DONMAK				
Fresh	freş	TAZE				
Friday	fraydey	CUMA				
Friend	frend	ARKADAŞ				
Friendly	frendli	DOSTÇA				
Fright	frayt	KORKU				
Frighten	fraytn	KORKUTMAK				
Frog	frog	KURBAĞA				
From	from	(...DEN,  ...DAN) EKİ				
Front	frant	ÖN				
Frown	fraun	KAŞINI ÇATMAK,MEMNUN OLMAMAK				
Fruit	fruut	MEYVE				
Fugitive	fiucitiv	KANUN KAÇAĞI				
Full	ful	DOLU, TAMAMEN				
Fun	fan	EĞLENCE				
Fund	fand	FON, KULLANABİLİNİR MALİ KAYNAK				
Funny	fani	1.KOMİK  2.GARİP				
Fur	för	KÜRK				
Furnish	förniş	DÖŞEMEK				
Further	fördır	DAHA				
Future	füuçır	GELECEK				



Gain	geyn	KAZANMAK				
Gallery	gelıri	GALERİ				
Gamble	gembl	KUMAR OYNAMAK, KUMAR				
Game	geym	OYUN				
Gang	geng	ÇETE				
Gap	gep	BOŞLUK, FARK				
Garage	garaaj	GARAJ				
Garden	gadn	BAHÇE				
Garlic	gaalik	SARIMSAK				
Gas	ges	GAZ				
Gate	geyt	BAHÇE KAPISI				
Gather	gedır	1.TOPARLAMAK, TOPLANMAK 2.ANLAMAK				
General	cenrıl	GENERAL				
General	cenrıl	GENEL				
Generally	cenrıli	GENELLİKLE				
Generous	cenrıs	CÖMERT				
Genius	ciniıs	DAHİ				
Gentle	centl	NAZİK				
Gentleman	centlmın	CENTİLMEN				
Get	get	1.ALMAK 2.ELDE ETMEK 3.ANLAMAK				
Gift	gift	1.ARMAĞAN  2.YETENEK				
Gipsy	cipsi	ÇİNGENE				
Girl	görl	KIZ				
Give	giv	VERMEK				
Glad	gled	MEMNUN				
Gladly	gledli	ZEVKLE				
Glass	glas	CAM, BARDAK				
Glorious	gloriıs	PARLAK, ONURLU (parlak tarih)				
Glory	glori	ONUR, HEYECAN, GÜZELLİK				
Glove	glav	ELDİVEN				
Go	go	GİTMEK				
Goat	gout	KEÇİ				
God	gad	TANRI				
Gold	gould	ALTIN				
Golden	gouldın	ALTINDAN				
Goldfish	gouldfiş	AKVARYUM BALIĞI				
Good	gud	1.İYİ 2.DEVAMLI ( uzun periyot )				
Good-Looking	gud luking	İYİ GÖRÜNÜMLÜ, YAKIŞIKLI				
Goose	guus	KAZ				
Gosh	goş	HAYRET!...				
Govern	gavn	YÖNETMEK, HÜKMETMEK				
Government	gavınmınt	HÜKÜMET				
Graduate	grecueyt	MEZUN (üniversite mezunu)				
Grain	greyn	TANECİK ( kum,buğday v.s.)
Grand	grend	BÜYÜK, ZEVKLİ
Grape	greyp	ÜZÜM
Grasp	grasp	SIKICA TUTMAK
Grass	gres	1.OT, ÇİM 2.MUHBİR ,İSPİYONCU
Grave	greyv	1.MEZAR 2.KÖTÜ, ÖNEMLİ
Great	greyt	BÜYÜK, ÇOK, ÇOK İYİ
Green	griin	1. YEŞİL 2.TECRÜBESİZ ,TOY
Greeting	griiting	KUTLAMA
Grey	grey	GRİ
Grill	gril	GRİL
Grip	grip	SIKICA TUTMAK
Grocer	grousır	BAKKAL
Ground	graund	YER, TOPRAK
Group	gruup	GURUP, TOPLULUK
Grow	grow	BÜYÜMEK, YETİŞMEK
Guard	gard	KORUMAK
Guerrilla	gırilı	GERİLLA
Guess	ges	TAHMİN ETMEK
Guest	gest	KONUK
Guide	gayd	REHBER, REHBERLİK ETMEK
Guilt	gilt	SUÇ, KABAHAT
Gum	gam	1.YAPIŞKAN 2.DİŞ ETİ
Gun	gan	SİLAH



Habit	hebit	ALIŞKANLIK
Hail	heyl	DOLU (yağış)
Hair	heyr	1.SAÇ  2.HAYVAN TÜYÜ
Half	half	YARIM
Hall	hol	HOL
Hammer	hemır	ÇEKİÇ, ÇEKİÇLEMEK
Hand	hend	EL
Handbag	hendbeg	EL ÇANTASI (kadınların)
Handkerchief	hengırçif	MENDİL
Handle	hendıl	1.TUTACAK 2.ELİNDEN GELMEK, YAPABİLMEK 3.ELLEMEK
Handsome	hendsım	YAKIŞIKLI
Handwriting	hendrayting	EL YAZISI
Hang	heng	ASMAK
Hangar	hengır	HANGAR
Happy	hepi	MUTLU
Harbour	harbır	LİMAN
Hard	hard	SERT, ZOR, BELALI, KÖTÜ
Hardly	hardli	ZORLA, İYİ DEĞİL
Harm	harm	ZARAR,KÖTÜLÜK
Harmful	harmful	ZARARLI
Harvest	harvıst	HASAT
Haste	heyst	HIZ, ACELE
Hat	het	ŞAPKA
Hate	heyt	NEFRET
Have	hev	SAHİP OLMAK
Hawk	hovk	1.ATMACA 2.EL ARABASIYLA SATMAK, SEYYAR SATICILIK
Hazard	hezırd	TEHLİKE, RİSK
Head	hed	BAŞ, KAFA
Headache	hedeyk	BAŞ AĞRISI
Health	helth	SAĞLIK
Healthy	helthi	SAĞLIKLI
Hear	hiir	DUYMAK
Heart	hart	1.KALP  2.KUPA (oyun kartlarında)
Heat	hiit	ISI
Heater	hiitır	ISITICI
Heaven	hevın	CENNET
Heavy	hevi	AĞIR
Heel	hiıl	TOPUK
Height	hayt	YÜKSEKLİK
Heir	eır	MİRASÇI
Hell	hel	CEHENNEM
Help	help	YARDIM, YARDIM ETMEK
Hen	hen	DİŞİ KUŞ, PİLİÇ
Here	hiır	BURASI, BURADA, BURAYA
Hero	hiro	KAHRAMAN
Hesitate	heziteyt	DURAKSAMAK, TEREDDÜT ETMEK
Hiccup	hikap	HIÇKIRIK
Hide	hayd	SAKLANMAK, SAKLAMAK
High	hay	YÜKSEK
Hijack	haycek	KORSANLIK YAPMAK (uçak,araba,v.s.)
Hijacker	haycekır	KORSAN, EŞKIYA
Hill	hil	TEPE, YOKUŞ
Hire	hayır	KİRALAMAK (taşınabilir nesneleri,araba,TV, v.b )
History	histri	TARİH
Hit	hit	DARBE, ÇARPMAK, POPÜLER (hit)
Hitch-Hike	hiçhayk	OTOSTOP YAPMAK
Hobby	hobi	HOBİ
Hold	hold	TUTMAK, KAVRAMAK
Hole	hol	DELİK
Holiday	holidey	TATİL GÜNÜ
Hollow	halou	BOŞ (bir cismin arkası boş olması davul,duvar v.b)
Home	hom	EV, YUVA
Homesick	houmsik	SILA HASRETİ
Honest	anıst	DÜRÜST
Honey	hani	BAL
Honeymoon	hanimuun	BALAYI
Honour	anır	ONUR
Hop	hap	SIÇRAMAK, ZIPLAMAK ,SEKMEK
Hope	houp	UMUT
Hopeless	houplıs	UMUTSUZ
Horizon	hırayzın	UFUK
Horn	horn	1.BOYNUZ 2.KORNA
Horrible	haribl	KORKUNÇ
Horse	hors	AT
Hospital	haspitl	HASTANE
Host	houst	EV SAHİBİ (konukları olan)
Hostage	hastıc	ESİR, REHİNE				
Hostel	hastl	ÖĞRENCİ, TURİST KONAKLAMA YERİ				
Hot	hat	1.SICAK 2.ACI ( yemekte )				
Hotel	houtel	OTEL				
Hour	auır	SAAT				
Hourly	auıli	SAAT BAŞI				
House	haus	EV				
Housewife	haus wayf	EV HANIMI				
Hover	havır	HAVADA KALMAK				
How	haw	NASIL				
However	hauevır	HER ŞEKİLDE				
Hum	ham	VIZILDAMAK, DUDAK KAPALI ŞARKI SÖYLEMEK				
Humble	hambl	ALÇAK GÖNÜLLÜ				
Humour	hüumır	GÜLDÜRÜ, MİZAH				
Hungry	hangri	AÇ				
Hunt	hant	AVLAMAK				
Hurry	hari	ACELE ETMEK				
Hurt	hört	YARALAMAK, YARALANMAK				
Husband	hazbınd	KOCA, ERKEK EŞ				



Ice	ays	BUZ				
Ice-Cream	ays kriim	DONDURMA				
Icy	aysi	ÇOK SOĞUK, BUZLU				
Idea	aydiı	FİKİR				
Ideal	aydiıl	YETKİN, İDEAL				
Identical	aydentikl	ÖZDEŞ, ÇOK BENZEYEN, AYNI				
Identify	aydentifay	BELİRLEMEK, TANIMLAMAK, TANIMAK, BELİRTMEK				
Idle	aydl	ATIL, BOŞ				
If	if	EĞER				
Ill	il	HASTA, HASTALIK				
Illegal	illigıl	KANUNSUZ				
Image	imıc	HAYAL, İMAJ				
Immediate	immidiıt	ANINDA, DERHAL				
Immense	imens	ÇOK BÜYÜK				
Immigrate	imigreyt	GÖÇMEN				
Impatient	impeyşınt	SABIRSIZ				
Impolite	impolayt	KABA, NAZİK DEĞİL				
Import	import	İTHAL ETMEK				
Importance	importıns	ÖNEM				
Important	importınt	ÖNEMLİ				
Impossible	imposıbl	OLANAKSIZ				
Impress	impres	ETKİLEMEK				
Impression	impreşn	ETKİ				
Improve	impruuv	GELİŞMEK, İYİYE GİTMEK				
Improvement	impruuvmınt	GELİŞME				
In	in	1.İÇİNDE, İÇERİ, İÇERDE, İÇERİYE  2.POPÜLER				
In Order To	in ordır to	AMACIYLA, MAKSADIYLA				
Incident	insidınt	OLAY (önemsiz olay)				
Include	inkluud	KAPSAMAK				
Income	inkım	GELİR				
Incorrect	ınkırekt	HATALI, YANLIŞ				
Increase	inkriiz	ARTMAK				
Incredible	inkredıbl	İNANILMAZ, BÜYÜLEYİCİ				
Indeed	indiid	GERÇEKTEN				
Independent	ındıpendınt	BAĞIMSIZ				
Indicate	indikeyt	GÖSTERMEK, İŞARET ETMEK				
Indoor	indor	EV İÇİNDE, İÇERDE				
Industry	indastri	ENDÜSTRİ				
Inferior	infiıriır	AŞAĞILIK				
Influence	ınfluıns	ETKİ, ETKİLEMEK				
Inform	infoom	BİLGİ VERMEK				
Informal	infoomıl	RESMİ OLMAYAN,GAYRI RESMİ				
Information	infımeyşın	BİLGİ, ENFORMASYON				
Injure	incır	İNCİTMEK				
Ink	ink	MÜREKKEP				
Inn	in	1.HAN  2.MOTEL				
Inquire	inkwayr	ARAŞTIRMAK				
Inquiry	inkuaıri	SORU				
Insect	insekt	BÖCEK				
Inside	insayd	İÇERİSİ				
Insist	insist	ISRAR ETMEK				
Inspect	inspekt	İNCELEMEK				
Inspector	inspektır	MÜFETTİŞ				
Install	instol	YERLEŞTİRMEK				
Instance	instıns	ÖRNEK				
Instead Of	insted ov	YERİNE				
Institute	instıtüut	ENSTİTÜ,KURULUŞ				
Instruction	instrakşn	YÖNERGE;TALİMAT				
Instrument	instrumınt	ENSTRÜMAN				
Intelligent	intelicınt	ZEKİ				
Intend	intend	PLANLAMAK, MAKSAT, NİYET				
Intention	intenşın	PLAN				
Interest	interest	1.İLGİ DUYMAK, ENTERESE OLMAK 2. FAİZ				
Interesting	intresting	İLGİNÇ				
Intermediate	intımidiıt	ARADA				
International	intıneyşınıl	ULUSLARARASI				
Interpret	intörprıt	ÇEVİRİ, YORUMLAMAK				
Interrupt	intırapt	DURDURMAK, KESMEK(bir süre için), ARAYA GİRMEK				
Interval	ıntıvl	ARALIK, ARA				
Interview	intıvüu	RÖPORTAJ, GÖRÜŞME				
Into	intu	İÇİNE				
Introduce	intrıdyus	TANIŞTIRMAK				
Invalid	invelid	GEÇERSİZ				
Invent	invent	İCAT ETMEK, YARATMAK				
Invest	invest	YATIRIM YAPMAK				
Investigate	ınvestıgeyt	ARAŞTIRMA YAPMAK,ÇALIŞMAK				
Invite	ınvayt	DAVET ETMEK				
Iron	ayrın	1.DEMİR  2.ÜTÜ				
Irregular	ıregulır	DÜZENSİZ				
Island	aylınd	ADA				
Issue	işuu	1.BASKI 2.KONU 3.VERMEK				
It	it	O (cansız ve üçüncü tekil şahıs zamiri)



Jail	jeyl	HAPİS
Jam	cem	1.REÇEL 2.SIKIŞIKLIK  (tfaffic jam )
January	cenueri	OCAK ( ayı )
Jaw	cov	1.ÇENE KEMİĞİ  2.ÇENE ÇALMAK,KONUŞMAK
Jazz	cez	CAZ
Jealous	celıs	KISKANÇ
Jet	cet	JET, FIŞKIRMAK
Jewel	cuıl	MÜCEVHER
Job	cab	İŞ
Join	coin	BİRLEŞTİRMEK, BİRLEŞMEK
Joint	coint	BİRLEŞİK
Joke	couk	ŞAKA
Jolly	coli	ÇOK
Journal	cöönl	GAZETE,DERGİ
Journalist	cönılist	GAZETECİ
Journey	cööni	YOLCULUK
Joy	coy	MUTLULUK,EĞLENCE
Judge	cac	1.HAKİM  2.YARGILAMAK
Judgement	cacmınt	YARGI
Juice	cuis	SU (meyve suyu v.s.)
July	culy	TEMMUZ
Jump	camp	SIÇRAMAK, ATLAMAK
June	cuun	HAZİRAN
Jury	cüri	JÜRİ
Just	cast	1.YALNIZ  2.HEMEN ŞİMDİ
Justice	castis	ADALET



Keep	kiip	KORUMAK, TUTMAK, DEVAM ETMEK
Key	kii	ANAHTAR
Kick	kik	TEKME, TEKMELEMEK
Kid	kid	1.ÇOCUK  2.DALGA GEÇMEK  3.GENÇ KEÇİ
Kill	kil	ÖLDÜRMEK
Kind	kaynd	1. İYİ, DOST, SEVGİLİ 2.ÇEŞİT, TÜR
King	king	KRAL
Kingdom	kingdım	KRALLIK
Kiss	kis	ÖPÜCÜK, ÖPMEK
Kitchen	kiçın	MUTFAK
Knee	nii	DİZ, DİZ ÇÖKMEK
Knife	nayf	BIÇAK
Knock	nok	VURMAK (kapıya vurmak)
Knot	not	DÜĞÜM, DÜĞÜM ATMAK
Know	nou	BİLMEK
Knowledge	navlıc	BİLGİ



Labour	leybır	İŞ(elle yapılan zor iş),İŞGÜCÜ
Lack	lek	EKSİKLİK
Ladder	ledır	MERDİVEN
